file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00103_03982.950-03986.700,འདི་ལྟ་བུའི་སྐྱེས་བུ་དམ་པ་ལ་བཀུར་བསྟི་བྱ་བའི་ཆེད་ཀྱང་མ་ཡིན་ནོ་སྙམ་ནས་ཚོང་འདུས་ ,'di lta bu'i skyes bu dam pa la bkur bsti bya ba'i ched kyang ma yin no snyam nas tshong 'dus _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00103_03982.950-03986.700.wav,STT_TT,3,79,3.75,wav16k/STT_TT00103_03982.950-03986.700.wav,འདི་ལྟ་བུའི་སྐྱེས་བུ་དམ་པ་ལ་བཀུར་སྟི་བྱ་བའི་ཞས་ཀྱང་མ་ཡིན་ནོ་སྙམ་ནས་ཚོང་འདུས་ཀྱི་
STT_CS-D-2011-P-D-B06-4-R-01_0014_96634_to_104599,ད་སྨན་པ་དེ། སྨན་པ་དེས་རྫུན་མ་གཅིག་བསྒར་ཡིན་གྱི་རེད་བ། ཨ་ནས་ལག་པ་དེ་ཟུག་རྒྱབ། ཨ་ནས་དགོང་དག་ཚང་མ་ཨེ་འདྲའི་བྱས། རྗེས་ལ་ཁོ་ཤི་གི་རེད་ད་རཱ།  ,da sman pa de/_sman pa des rdzun ma gcig bsgar yin gyi red ba/_a nas lag pa de zug rgyab/_a nas dgong dag tshang ma e 'dra'i byas/_rjes la kho shi gi red da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B06-4-R-01_0014_96634_to_104599.wav,STT_CS,3,136,7.965,wav16k/STT_CS-D-2011-P-D-B06-4-R-01_0014_96634_to_104599.wav,ད་སྨན་པ་དེ་སྨན་པ་དེ་རྫུན་མ་གཅིག་གར་ཡིན་གྱི་རཱ། ཨེ་ནས་ལག་པ་དེ་ཟུག་བརྒྱབ། ཨ་ནས་དགོང་དག་ཚང་མ་ཨེ་འདྲའི་བྱས། ཨ་ནས་ལ་ཁོ་ཤི་རེད་ད་རཱ།
STT_CS-D-2011-P-D-B06-4-R-01_0015_105308_to_111704,ཤི་ཁོས། ཌཀ་ཋར། མ་རེད། ད་ཁོ་རང་ཀ་ཅི་གྲོགས་པོ་དེ་ཡོད་རཱ། ཡ་ཡུད་སྡུག་ཅག་ཁོང་ཁྲོ་ལངས་ཀྱི་རེད་ད་རཱ། ཁོང་ཁྲོ་ལངས་དུས་སྐབས་ལ།  ,shi khos/_Daka Thar/_ma red/_da kho rang ka ci grogs po de yod rA/_ya yud sdug cag khong khro langs kyi red da rA/_khong khro langs dus skabs la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B06-4-R-01_0015_105308_to_111704.wav,STT_CS,3,120,6.396,wav16k/STT_CS-D-2011-P-D-B06-4-R-01_0015_105308_to_111704.wav,ས་ག། ཌོཁ་ཋོར། མ་རེད། ་ཁོ་རང་ཀ་ཅི་གྲོགས་པོ་དེ་ཡོད་རཱ། ཡ་ཡུད་སྡུག་ཅག་ཁོང་ཁྲོ་ལངས་ཀི་རེད་ད་རཱ། ཁོང་ཁྲོ་ལངས་དུས་སྐབས་སུ།
STT_CS-D-2011-P-D-B06-4-R-01_0016_114859_to_120546,ཁོང་ཁྲོ་ལངས་དུས་སྐབས་ལ། ཨ་ནས་ཁོས་ཡོད་བ། ཁོང་ཁྲོ། ཁོང་ཁྲོ་དེ་ཡོད་བ་ཏིས་སི། འོ་དེ་བྱས་ཡིན་ས་རཱ། ཨ་ནས་དེའི་རྗེས་ལ་ཁོ་མགྱོགས།  ,khong khro langs dus skabs la/_a nas khos yod ba/_khong khro/_khong khro de yod ba tis si/_'o de byas yin sa rA/_a nas de'i rjes la kho mgyogs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B06-4-R-01_0016_114859_to_120546.wav,STT_CS,3,123,5.687,wav16k/STT_CS-D-2011-P-D-B06-4-R-01_0016_114859_to_120546.wav,ཁོང་ཁྲོ་ལངས་དུས་སྐབས་ལ་ཨེ་ནས་ཁོ་ཡོད་བ། ཁོང་ཁྲོ་ཁོང་ཁྲོ་དེ་ཡོད་བ་ཏོག་ཙི་འོ་འདྲེ་བྱེད་ཀྱི་ཡོད་ས་རཱ། ཨེ་ནས་དེའི་རྗེས་ལ་ཁོ་རཛོག་ོ།
STT_CS-D-2011-P-D-B06-4-R-01_0017_122217_to_128089,དེའི་རྗེས་ལ་འགྲོ་གི་རེད་ད་རཱ། ཟ་ཁང་ཅིག་ནང་འགྲོ་གི་རེད་ད་རཱ། ཟ་ཁང་དེའི་མིང་ལ་བདེ་སྐྱིད་ཚེ་རིང་ཟ་ཁང་རེད་ད་རཱ།  ,de'i rjes la 'gro gi red da rA/_za khang cig nang 'gro gi red da rA/_za khang de'i ming la bde skyid tshe ring za khang red da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B06-4-R-01_0017_122217_to_128089.wav,STT_CS,3,109,5.872,wav16k/STT_CS-D-2011-P-D-B06-4-R-01_0017_122217_to_128089.wav,འདི་གཅིག་ནང་འགྲོ་ཡི་རེད་ད་རཱ། ཟ་ཁང་གཅིག་ནང་འགྲོ་ཡི་རེད་ད་རཱ། ཟ་ཁང་དེའི་མིང་ལ་བདེ་སྐྱིད་ཚི་རིང་ཟ་ཁང་རེད་ད་རཱ།
STT_CS-D-2011-P-D-B06-4-R-01_0018_131734_to_139868,ཀུ་ཅི་ང་ལ་ཡོད་རཱ། ཀུ་ཤུ་གཅིག་ཟ་དུས་སྐབས་ལ་བྲོ་བ་མི་འདུག་ལབ་ནས་གཡུག་བཞག་ནས་འགྲོ་གི་རེད་ད་རཱ། ཨ་ནས་ཁོ། ཨ་ནས་ཁོ་ལ་ཡོད་བ། ཁ་པར་གཅིག་བསླེབས་ཀྱི་རེད་ད་རཱ། ཁ་པར་གཅིག་བསླེབས་དུས་སྐབས་ལ།  ,ku ci nga la yod rA/_ku shu gcig za dus skabs la bro ba mi 'dug lab nas g.yug bzhag nas 'gro gi red da rA/_a nas kho/_a nas kho la yod ba/_kha par gcig bslebs kyi red da rA/_kha par gcig bslebs dus skabs la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B06-4-R-01_0018_131734_to_139868.wav,STT_CS,3,179,8.134,wav16k/STT_CS-D-2011-P-D-B06-4-R-01_0018_131734_to_139868.wav,ཀུ་ཤུ་ཅིག་ལང་དུས་སྐབས་ལ། ཀུ་ཤུ་ཟ་དུས་སྐབས་ལ་བྲོ་བ་མི་འདུག་ལབ་ནས་གཡུག་བཞག་ནས་འགྲོ་ཡི་རེད་ད་རཱ། ཨེ་ནས་ཁོ། ཨེ་ནས་ཁོ་ལ་ཡོད་བ་ ཁ་པར་གཅིག་སླེབས་ཀྱི་རེད་ད་རཱ། ཁ་པར་གཅིག་སླེབས་དུས་སྐབས་།
STT_CS-D-2011-P-D-B06-4-R-01_0019_142838_to_145386,ནང་། ང་ཚོའི་ནང་ལ་ཡོད་བ། མེ་འབར་འདུག་ལབ་ཀྱི་རེད་ད་རཱ།  ,nang /_nga tsho'i nang la yod ba/_me 'bar 'dug lab kyi red da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B06-4-R-01_0019_142838_to_145386.wav,STT_CS,3,54,2.548,wav16k/STT_CS-D-2011-P-D-B06-4-R-01_0019_142838_to_145386.wav,ནང་། ང་ཚོའི་ནང་ལ་ཡོད་བ་མེ་འབར་འདུག་ལབ་ཀྱི་རེད་ད་རཱ།
STT_CS-D-2011-P-D-B06-4-R-01_0020_149014_to_152271,ད་མགྱོགས་ཟི་བསླེབས་དགོས་འདུག་ལབ་ཀྱི་རེད་ད་རཱ། ཨ་ནས་ཁོ་འགྲོ་དུས་སྐབས་ལ་ཡོད་བ།  ,da mgyogs zi bslebs dgos 'dug lab kyi red da rA/_a nas kho 'gro dus skabs la yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B06-4-R-01_0020_149014_to_152271.wav,STT_CS,3,78,3.257,wav16k/STT_CS-D-2011-P-D-B06-4-R-01_0020_149014_to_152271.wav,ད་མགྱོགས་སེ་སླེབས་དགོས་འདུག་ལབ་ཀྱི་རེད་ད་རཱ། ཨ་ནས་ཡག་ཁོ་འགྲོ་དུས་སྐབས་ལ་ཡོད་བ།
STT_CS-D-2011-P-D-B06-4-R-01_0021_156152_to_165315,ཨ་ནས་དེའི་རྗེས་ལ་ཁོ་འགྲོ་གི་ཡོད་ས་རཱ། ཨ་ནས་རྗེས་ལ་དཀྱིལ་མ་ཟི་ནས་གྲོང་གསེབ་གཅིག་ནང་ལ་བསླེབས་ཀྱི་ཡོད་ས་རཱ་ཁོ། གྲོང་གསེབ་ཀྱི་ཕར། ཕར་ཕྱོགས་དེ་ལ་ཁོའི་ནང་ཡོད་རེད་ད་རཱ། གྲོང་གསེབ་ཀྱི་ཕར་ཕྱོགས་དེ་ལ།  ,a nas de'i rjes la kho 'gro gi yod sa rA/_a nas rjes la dkyil ma zi nas grong gseb gcig nang la bslebs kyi yod sa rA kho/_grong gseb kyi phar/_phar phyogs de la kho'i nang yod red da rA/_grong gseb kyi phar phyogs de la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B06-4-R-01_0021_156152_to_165315.wav,STT_CS,3,192,9.163,wav16k/STT_CS-D-2011-P-D-B06-4-R-01_0021_156152_to_165315.wav,ཨེ་ནས་དེའི་རྗེས་ལ་ཁོ་འགྲོ་ཡི་རེད་ད་རཱ། ཨེ་ནས་རྗེས་ལ་དཀྱིལ་མ་ཟི་ནས་གྲོང་གསེབ་གཅིག་ནང་སླེབས་ཀྱི་རེད་ས་རཱ་ཁོ། གྲོང་གསེབ་ཀྱི་ཕར ཕར་ཕྱོགས་དེ་ལ་ཁོ་ནང་ཡོད་རེད་ད་རཱ། ཨ་ནས་གྲོང་གསེབ་ཀྱི་ཕར་ཕྱོགས་དེ་ལ།
STT_CS-D-2011-P-D-B06-4-R-01_0022_169365_to_178039,མེ་འབར་འདུག ཨ་ནས་སོ་སོ་ནང་ལ་མེ་འབར་ནས་ཡོད་བ། ཁོ་ཡ་ཡུད་མང་པོ་ཊན་ཤུན་བྱས་རེད་ད་རཱ། ཊན་ཤུན་ཡ་ཡུད་མང་པོ། ད་དངངས་སྐྲག་སྐྱེས་ཀྱི་རེད་ད་རཱ། དངངས་སྐྲག་སྐྱེས་ནས་ཡོད་བ།  ,me 'bar 'dug_a nas so so nang la me 'bar nas yod ba/_kho ya yud mang po Tan shun byas red da rA/_Tan shun ya yud mang po/_da dngangs skrag skyes kyi red da rA/_dngangs skrag skyes nas yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B06-4-R-01_0022_169365_to_178039.wav,STT_CS,3,160,8.674,wav16k/STT_CS-D-2011-P-D-B06-4-R-01_0022_169365_to_178039.wav,མེ་འབར་འདུག ཨ་ནས་སོ་སོའི་ནང་ལ་མེ་འབར་ནས་ཡོད་བ། ཁོ་ཡ་ཡུད་མང་པོ་ཋན་ཤིན་བྱེད་ཀྱི་རེད་ད་རཱ། ཋན་ཤིན་མངཔོད་དངམ་སྐྲག་སྐྱེས་གི་རེད་ད་རཱ། དངངས་སྐྲག་སྐྱེས་ནས་ཡོད་བ།
